trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.02, 'e': 0.6949228463120537}",20,0,-56.63443578501978,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.02, 'e': 0.6747595715397028}",25,0,-57.42244341989379,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.02, 'e': 0.6548453588320265}",20,0,-18.604793393131956,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.02, 'e': 0.6352088801990062}",25,0,-37.0852533666023,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
22,False,"{'a': 0.02, 'e': 0.6158746579429091}",25,0,-93.83787787535204,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
23,False,"{'a': 0.02, 'e': 0.5968635473138589}",30,4,-140.80831195056092,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 2}",1
24,False,"{'a': 0.02, 'e': 0.5781931515036906}",25,17,-50.94226059002819,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.02, 'e': 0.5598781813446863}",25,0,-112.89920130389784,"{0: 15, 1: 0, 2: 7, 3: 3, 4: 0}",0
26,False,"{'a': 0.02, 'e': 0.54193076930526}",20,0,-60.678690424868506,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
27,False,"{'a': 0.02, 'e': 0.524360745316639}",20,0,-55.12332213642792,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
28,False,"{'a': 0.02, 'e': 0.5071758804174753}",25,8,-21.894966752457645,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
29,False,"{'a': 0.02, 'e': 0.49038210302579816}",35,8,-69.3774092986585,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 2}",1
30,False,"{'a': 0.02, 'e': 0.47398369174116584}",30,12,2.4031611789400813,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.02, 'e': 0.457983447874442}",25,0,-12.539331897569664,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",1
32,False,"{'a': 0.02, 'e': 0.44238285034818187}",25,11,22.392603747924362,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.02, 'e': 0.42718219517074063}",20,0,15.521808515898137,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
34,False,"{'a': 0.02, 'e': 0.4123807213351459}",20,7,16.17451172257668,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.02, 'e': 0.397976724709613}",20,0,-43.14003514372357,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
36,False,"{'a': 0.02, 'e': 0.3839676612554115}",20,0,-29.922090051075006,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
37,False,"{'a': 0.02, 'e': 0.3703502407183063}",20,6,-43.4474085755934,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.02, 'e': 0.3571205117833631}",20,5,-29.722218851905957,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
39,False,"{'a': 0.02, 'e': 0.3442739395528723}",25,0,-34.55612902472428,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
40,False,"{'a': 0.02, 'e': 0.3318054760983418}",20,2,15.718921557891493,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.02, 'e': 0.3197096247458974}",30,11,-28.165708626429684,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.02, 'e': 0.30798049867682115}",30,12,-14.44325180567638,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.02, 'e': 0.29661187435884245}",20,0,-62.11325656783907,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
44,False,"{'a': 0.02, 'e': 0.28559724026714195}",25,5,-34.036342537475385,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.02, 'e': 0.2749298413052348}",25,0,-33.897349155757986,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.02, 'e': 0.26460271929365126}",25,0,23.77268562349679,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.02, 'e': 0.25460874985757537}",20,3,-28.884783659321442,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.02, 'e': 0.24494067601246838}",30,22,14.10712838416914,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.02, 'e': 0.2355911387184874}",20,0,14.850355203458584,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.02, 'e': 0.22655270464962224}",20,0,-16.849051799665176,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.02, 'e': 0.21781789140143576}",30,0,-11.108991704308366,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.02, 'e': 0.2093791903416975}",30,12,32.45607808679841,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.02, 'e': 0.20122908729071515}",25,9,4.169235364109387,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.02, 'e': 0.19336008120250753}",30,0,-27.631708340544762,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.02, 'e': 0.18576470100389103}",25,17,15.05914682365544,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.02, 'e': 0.17843552073586544}",30,11,-55.699645175668714,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 2}",1
57,False,"{'a': 0.02, 'e': 0.17136517313021576}",20,11,17.32130409042152,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.02, 'e': 0.16454636174384699}",20,4,26.93282391450415,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.02, 'e': 0.15797187176391383}",25,13,14.212100330258377,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.02, 'e': 0.1516345795881918}",20,0,21.31878870224349,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.02, 'e': 0.145527461277264}",25,12,-23.25882052099011,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.02, 'e': 0.13964359996789363}",30,2,4.917636291422757,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 0}",1
